date,SP500,CPI,CPI MoM,Fed Funds,Cons.Sentiment,VIX,SP500 MoM,GDP,GDP MoM,Un.Rate
3/1/90,339.94000244140625,128.6,0.4687499999999955,8.28,91.3,20.062272727272727,,5901.81,,5.2
4/1/90,330.79998779296875,128.9,0.2332814930015692,8.26,93.9,21.4035,-2.688714062,5930.919,0.4932215710095722,5.4
5/1/90,361.2300109863281,129.1,0.1551590380139522,8.18,90.6,18.097727272727273,9.198919079889455,5960.028,0.4908008354185922,5.4
6/1/90,358.0199890136719,129.9,0.6196746707978429,8.29,88.3,16.822380952380954,-0.888636568,5978.390666666667,0.3080969865689731,5.2
7/1/90,356.1499938964844,130.5,0.4618937644341736,8.15,88.2,18.392857142857142,-0.522315841,5996.753333333333,0.3071506646270094,5.5
8/1/90,322.55999755859375,131.6,0.8429118773946254,8.13,76.4,28.175217391304347,-9.431418479,6015.116,0.3062101381525295,5.7
9/1/90,306.04998779296875,132.5,0.6838905775075954,8.2,72.8,29.10736842105263,-5.118430646,6011.655,-0.057538375,5.9
10/1/90,304,133.4,0.6792452830188811,8.11,63.9,29.625652173913043,-0.66982123,6008.194,-0.057571501,5.9
11/1/90,322.2200012207031,133.7,0.2248875562218755,7.81,66,24.885714285714283,5.993421454178649,6004.733,-0.057604665,6.2
12/1/90,330.2200012207031,134.2,0.3739715781600594,7.31,65.5,23.363,2.482775733875209,6014.881333333334,0.169005572,6.3
1/1/91,343.92999267578125,134.7,0.3725782414307099,6.91,66.8,27.42909090909091,4.151775,6025.029666666666,0.168720425,6.4
2/1/91,367.0700073242187,134.8,0.07423905,6.25,70.4,21.598421052631576,6.728117681278034,6035.178,0.1684362384052562,6.6
3/1/91,375.2200012207031,134.8,0,6.12,87.7,17.744210526315786,2.220283252204202,6065.739333333333,0.5063866108561133,6.8
4/1/91,375.3399963378906,135.1,0.2225519287833766,5.91,81.8,17.37272727272727,0.031979936,6096.300666666667,0.5038352565760462,6.7
5/1/91,389.8299865722656,135.6,0.3700962250185124,5.78,78.3,16.93227272727273,3.8604972493607503,6126.862,0.5013094826578302,6.9
6/1/91,371.1600036621094,136,0.2949852507374784,5.9,82.1,17.135,-4.789262897,6153.220333333334,0.4302093524112926,6.9
7/1/91,387.80999755859375,136.2,0.1470588235294112,5.82,82.9,17.294090909090908,4.485934295776639,6179.578666666666,0.4283664797527953,6.8
8/1/91,395.4299926757813,136.6,0.2936857562408246,5.66,82,15.681363636363637,1.9648784624321625,6205.937,0.4265393282476326,6.9
9/1/91,387.8599853515625,137,0.2928257686676483,5.45,83,16.9565,-1.914373584,6225.471333333333,0.314768476,6.9
10/1/91,392.4500122070313,137.2,0.1459854014598471,5.21,78.3,16.36391304347826,1.1834236654519217,6245.005666666667,0.3137807932507952,7
11/1/91,375.2200012207031,137.8,0.4373177842565745,4.81,69.1,17.7735,-4.390370863,6264.54,0.3127992891599707,7
12/1/91,417.0899963378906,138.2,0.2902757619738683,4.43,68.2,18.347619047619048,11.15878550742815,6297.394,0.5244439336328011,7.3
1/1/92,408.7799987792969,138.3,0.0723589,4.03,67.5,17.68318181818182,-1.992375178,6330.248,0.5217078683658505,7.3
2/1/92,412.7000122070313,138.6,0.2169197396963085,4.06,68.8,17.47736842105263,0.958954313,6363.102,0.5190002034675567,7.4
3/1/92,403.69000244140625,139.1,0.3607503607503615,3.98,76,17.520454545454545,-2.183186213,6398.989,0.5639859301328043,7.4
4/1/92,414.9500122070313,139.4,0.2156721782890169,3.73,77.2,16.56285714285714,2.7892713957560433,6434.876,0.5608229675031495,7.4
5/1/92,415.3500061035156,139.7,0.2152080344332674,3.82,79.2,15.077,0.096395683,6470.763,0.5576952842603289,7.6
6/1/92,408.1400146484375,140.1,0.2863278453829609,3.76,80.4,15.203181818181818,-1.735883315,6502.722333333333,0.4939036298089228,7.8
7/1/92,424.2099914550781,140.5,0.2855103497501732,3.25,76.6,13.60181818181818,3.9373686063305824,6534.681666666666,0.4914762109633264,7.7
8/1/92,414.0299987792969,140.8,0.2135231316725994,3.3,76.1,14.42190476190476,-2.39975316,6566.641,0.4890725357955539,7.6
9/1/92,417.7999877929687,141.1,0.2130681818181656,3.22,75.6,13.696666666666664,0.9105593857418716,6604.695,0.5795048031405958,7.6
10/1/92,418.6799926757813,141.7,0.425230333,3.1,73.3,17.63681818181818,0.2106282691536565,6642.749,0.576165894,7.3
11/1/92,431.3500061035156,142.1,0.2822865208186309,3.09,85.3,14.4245,3.026180770368403,6680.803,0.5728652399782153,7.4
12/1/92,435.7099914550781,142.3,0.1407459535538446,2.92,91,12.191363636363636,1.0107766987062838,6697.021666666667,0.2427652284713088,7.4
1/1/93,438.7799987792969,142.8,0.3513703443429383,3.02,89.3,12.409,0.7045987892006611,6713.240333333333,0.2421773061806131,7.3
2/1/93,443.3800048828125,143.1,0.2100840336134224,3.03,86.6,13.72157894736842,1.0483627595407663,6729.459,0.2415922246390645,7.1
3/1/93,451.6700134277344,143.3,0.1397624039133571,3.07,85.9,13.60608695652174,1.8697299051888772,6755.952333333334,0.3936918752805107,7
4/1/93,440.19000244140625,143.8,0.3489183531053763,2.96,85.6,12.84095238095238,-2.541681016,6782.445666666667,0.3921480203851857,7.1
5/1/93,450.19000244140625,144.2,0.2781641168289051,3,80.3,13.606,2.271746278774489,6808.939,0.3906162265853163,7.1
6/1/93,450.5299987792969,144.3,0.069348128,3.04,81.5,12.524090909090908,0.075522854,6833.325333333333,0.3581517374929177,7
7/1/93,448.1300048828125,144.5,0.1386001386001201,3.06,77,11.50047619047619,-0.532704571,6857.711666666667,0.3568735885349339,6.9
8/1/93,463.55999755859375,144.8,0.207612457,3.03,77.3,11.928636363636365,3.4431956145887233,6882.098,0.3556045298881205,6.8
9/1/93,458.9299926757813,145,0.1381215469613117,3.09,77.9,12.931428571428572,-0.998793016,6925.978,0.6375962678822678,6.7
10/1/93,467.8299865722656,145.6,0.4137931034482678,2.99,82.7,11.875238095238096,1.9392922751884536,6969.858,0.633556734,6.8
11/1/93,461.7900085449219,146,0.2747252747252737,3.02,81.2,14.083809523809524,-1.291062608,7013.738,0.6295680629361478,6.6
12/1/93,466.4500122070313,146.3,0.205479452,2.96,88.2,11.356363636363636,1.0091174724184304,7047.709333333333,0.4843541822254105,6.5
1/1/94,481.6099853515625,146.3,0,3.05,94.3,11.29047619047619,3.2500745519977725,7081.680666666667,0.4820195006150607,6.6
2/1/94,467.1400146484375,146.7,0.2734107997265811,3.25,93.2,13.644210526315788,-3.004499729,7115.652,0.4797072182770812,6.6
3/1/94,445.7699890136719,147.1,0.2726653033401582,3.34,91.5,15.223478260869564,-4.574651061,7159.411666666667,0.6149776108593574,6.5
4/1/94,450.9100036621094,147.2,0.067980965,3.56,92.6,16.47105263157895,1.1530643100964522,7203.171333333333,0.6112187523788615,6.4
5/1/94,456.5,147.5,0.2038043478260975,4.01,92.8,13.897142857142857,1.2397144202814123,7246.931,0.6075055644472194,6.1
6/1/94,444.2699890136719,147.9,0.2711864406779618,4.25,91.2,13.408636363636363,-2.679082363,7274.978999999999,0.3870328005054713,6.1
7/1/94,458.2600098,148.4,0.3380662609871576,4.26,89,12.4845,3.1489907258900107,7303.027,0.385540632,6.1
8/1/94,475.4899902,149,0.4043126684636133,4.47,91.7,11.889130434782608,3.759869964992624,7331.075,0.3840599247407983,6
9/1/94,462.7099914550781,149.3,0.2013422818792021,4.73,91.5,13.233333333333333,-2.687753484,7372.479333333333,0.5647784715520299,5.9
10/1/94,472.3500061035156,149.4,0.066979236,4.76,92.7,15.245238095238095,2.0833815622011143,7413.883666666667,0.5616066381648688,5.8
11/1/94,453.69000244140625,149.8,0.2677376171352108,5.29,91.6,16.383809523809525,-3.950461188,7455.288,0.5584702322682711,5.6
12/1/94,459.2699890136719,150.1,0.2002670226969094,5.45,95.1,14.177142857142856,1.2299117331743048,7477.621666666666,0.2995681275715478,5.5
1/1/95,470.4200134277344,150.5,0.2664890073284409,5.53,97.6,12.274285714285714,2.427771176167703,7499.955333333333,0.2986733972678124,5.6
2/1/95,487.3900146484375,150.9,0.2657807308970028,5.92,95.1,11.47,3.607414807259257,7522.289,0.2977839956913586,5.4
3/1/95,500.7099914550781,151.2,0.1988071570576455,5.98,90.3,12.166521739130436,2.732919511338072,7541.858333333334,0.2601513094396379,5.4
4/1/95,514.7100219726562,151.8,0.3968253968254176,6.05,92.5,12.442631578947369,2.796035780491146,7561.427666666666,0.259476279,5.8
5/1/95,533.4000244140625,152.1,0.1976284584980225,6.01,89.8,12.26590909090909,3.631171269946476,7580.997,0.2588047415913674,5.6
6/1/95,544.75,152.4,0.1972386587771213,6,92.7,11.89681818181818,2.1278543431649366,7615.039666666667,0.4490526334025135,5.6
7/1/95,562.0599975585938,152.6,0.1312335958005173,5.85,94.4,12.514,3.177603957520647,7649.082333333334,0.4470451653151963,5.7
8/1/95,561.8800048828125,152.9,0.1965923984272644,5.74,96.2,12.798260869565215,-0.032023748,7683.125,0.4450555659247346,5.7
9/1/95,584.4099731445312,153.1,0.1308044473512071,5.8,88.9,12.057,4.009747288732535,7712.945333333333,0.3881276607283324,5.6
10/1/95,581.5,153.5,0.2612671456564408,5.76,90.2,14.357272727272727,-0.497933519,7742.765666666667,0.3866270541871719,5.5
11/1/95,605.3699951171875,153.7,0.1302931596091072,5.8,88.2,12.46904761904762,4.104900278106194,7772.586,0.3851380064582299,5.6
12/1/95,615.9299926757812,153.9,0.1301236174365838,5.6,91,11.7485,1.744387340596476,7804.546666666667,0.4111973372397104,5.6
1/1/96,636.0200195,154.7,0.5198180636777128,5.56,89.3,13.473636363636365,3.2617386869231213,7836.507333333333,0.4095134289243241,5.6
2/1/96,640.4299926757812,155,0.1939237233354873,5.22,88.5,15.033,0.6933701784703983,7868.468,0.4078432560219669,5.5
3/1/96,645.5,155.5,0.3225806451612856,5.31,93.7,17.76238095238095,0.7916567590839696,7923.258666666667,0.696332077,5.5
4/1/96,654.1699829101562,156.1,0.38585209,5.22,92.7,16.575238095238095,1.343142201418468,7978.049333333333,0.6915168237176417,5.6
5/1/96,669.1199951171875,156.4,0.1921844971172426,5.24,89.4,16.146363636363635,2.2853405991703157,8032.84,0.686767709,5.6
6/1/96,670.6300048828125,156.7,0.1918158567774774,5.27,92.4,16.395,0.2256709972268122,8065.696,0.4090209689225688,5.3
7/1/96,639.9500122070312,157,0.191448628,5.4,94.7,17.978636363636365,-4.574801672,8098.552000000001,0.4073548023630025,5.5
8/1/96,651.9899902,157.2,0.1273885350318471,5.22,95.3,15.760454545454545,1.881393514756069,8131.408,0.4057021551507001,5.1
9/1/96,687.3300170898438,157.7,0.3180661577608212,5.3,94.7,16.578,5.420332732833044,8174.195666666667,0.526202432,5.2
10/1/96,705.2700195,158.2,0.3170577045022105,5.24,96.5,16.38173913043478,2.610100242291802,8216.983333333334,0.5234480358862648,5.2
11/1/96,757.0200195,158.7,0.3160556257901348,5.31,99.2,15.997,7.337615178140577,8259.771,0.5207223251030957,5.4
12/1/96,740.7399902,159.1,0.2520478890989386,5.29,96.9,19.26095238095238,-2.150541449,8294.065666666667,0.4152011801134225,5.4
1/1/97,786.1599731445312,159.4,0.188560654,5.25,97.4,19.473333333333333,6.131703905412889,8328.360333333334,0.4134843880546412,5.3
2/1/97,790.8200073242188,159.7,0.1882057716436458,5.19,99.7,20.13947368421053,0.5927590234654057,8362.655,0.4117817348681107,5.2
3/1/97,757.1199951171875,159.8,0.062617408,5.39,100,20.17,-4.261401064,8414.711666666668,0.6224897077144353,5.2
4/1/97,801.3400268554688,159.9,0.062578223,5.51,101.4,19.66227272727273,5.840557906734034,8466.768333333333,0.6186387451976305,5.1
5/1/97,848.2800293,159.9,0,5.5,103.2,19.924761904761905,5.857688480332501,8518.825,0.6148351368221894,4.9
6/1/97,885.1400146484375,160.2,0.1876172607879755,5.56,104.5,20.194285714285712,4.345261479527585,8566.824333333334,0.5634501628256627,5
7/1/97,954.3099975585938,160.4,0.1248439450686644,5.52,107.1,20.529090909090908,7.814580943742477,8614.823666666667,0.5602931899346686,4.9
8/1/97,899.4699707,160.8,0.2493765586034868,5.54,104.4,23.084761904761905,-5.746563171,8662.823,0.5571713965435654,4.8
9/1/97,947.2800293,161.2,0.2487562189054548,5.54,106,23.812380952380952,5.315359061556713,8697.184333333333,0.3966528386108336,4.9
10/1/97,914.6199951171876,161.5,0.1861042183622929,5.5,105.6,23.870869565217394,-3.447769738,8731.545666666667,0.3950857198879776,4.7
11/1/97,955.4000244140624,161.7,0.1238390092879182,5.52,107.2,32.20611111111111,4.458685521263939,8765.907,0.3935309353590099,4.6
12/1/97,970.4299926757812,161.8,0.061842919,5.5,102.1,26.276363636363637,1.5731597108694428,8799.431333333332,0.3824399840579362,4.7
1/1/98,980.2800293,162,0.1236093943139504,5.56,106.6,23.8665,1.0150177442407982,8832.955666666667,0.3809829529135555,4.6
2/1/98,1049.3399658203125,162,0,5.51,110.4,19.998947368421053,7.044919253631243,8866.48,0.3795369817132021,4.6
3/1/98,1101.75,162,0,5.49,106.5,20.158636363636365,4.994571434122053,8900.886333333334,0.3880495228471003,4.7
4/1/98,1111.75,162.2,0.12345679,5.45,108.7,22.02857142857143,0.9076469253460396,8935.292666666666,0.3865495192819423,4.3
5/1/98,1090.8199462890625,162.6,0.2466091245376223,5.49,106.5,20.874,-1.882622326,8969.699,0.3850610675762977,4.4
6/1/98,1133.8399658203125,162.8,0.1230012300123206,5.56,105.6,21.66272727272727,3.9438240635040422,9020.165,0.5626275753511933,4.5
7/1/98,1120.6700439453125,163.2,0.245700246,5.54,105.2,19.93,-1.161532692,9070.631,0.5594797877865654,4.5
8/1/98,957.2800293,163.4,0.1225490196078427,5.55,104.4,31.58809523809524,-14.57967183,9121.097,0.5563670267261456,4.5
9/1/98,1017.010009765625,163.5,0.06119951,5.51,100.9,38.2047619,6.239551504341101,9178.728333333333,0.631846513,4.6
10/1/98,1098.6700439453125,163.9,0.244648318,5.07,97.4,36.60818181818182,8.029422856762892,9236.359666666667,0.6278792795734178,4.5
11/1/98,1163.6300048828125,164.1,0.1220256253813278,4.83,102.7,26.223,5.912599628568138,9293.991,0.6239615542616761,4.4
12/1/98,1229.22998,164.4,0.1828153564899626,4.68,100.5,25.479090909090907,5.637528708495609,9333.221333333331,0.4221042750453874,4.4
1/1/99,1279.6400146484375,164.7,0.1824817518248034,4.63,103.9,28.035263157894736,4.100944085374847,9372.451666666668,0.4203300439605373,4.3
2/1/99,1238.3299560546875,164.7,0,4.76,108.1,28.82263157894737,-3.228256238,9411.682,0.4185706656973931,4.4
3/1/99,1286.3699951171875,164.8,0.060716454,4.81,105.7,25.309565217391302,3.879421541,9449.858,0.405623564,4.2
4/1/99,1335.1800537109375,165.9,0.6674757281553312,4.74,104.6,23.478571428571428,3.7944027596277463,9488.034,0.4039849064398693,4.3
5/1/99,1301.8399658203125,166,0.060277275,4.74,106.8,26.2045,-2.49704808,9526.21,0.4023594350526016,4.2
6/1/99,1372.709961,166,0,4.76,107.3,23.626363636363635,5.443833111432483,9579.682,0.5613145206750714,4.3
7/1/99,1328.719970703125,166.7,0.4216867469879481,4.99,106,21.04904761904762,-3.204609239,9633.154,0.5581813676069913,4.3
8/1/99,1320.4100341796875,167.1,0.2399520095980767,5.07,104.5,24.323636363636364,-0.625409169,9686.626,0.5550829977388538,4.2
9/1/99,1282.709961,167.8,0.418910832,5.22,107.2,24.541428571428572,-2.855179245,9757.807,0.7348379095053481,4.2
10/1/99,1362.9300537109375,168.1,0.1787842669844996,5.2,103.2,24.021428571428572,6.253954145238461,9828.988,0.7294774327879061,4.1
11/1/99,1388.9100341796875,168.4,0.1784651992861485,5.42,107.2,21.81809523809524,1.906185896922041,9900.169,0.7241945966359964,4.1
12/1/99,1469.25,168.8,0.2375296912114022,5.3,105.4,22.159090909090907,5.784389473992291,9934.172333333334,0.3434621503262569,4
1/1/00,1394.459961,169.3,0.2962085308056972,5.45,112,23.202,-5.090354879,9968.175666666666,0.3422865256649254,4
2/1/00,1366.4200439453125,170,0.4134672179562759,5.73,111.3,23.5955,-2.010808326,10002.179,0.3411189215599464,4.1
3/1/00,1498.5799560546875,171,0.588235294,5.85,107.1,22.718260869565217,9.671982835364812,10084.026,0.8182916942398144,4
4/1/00,1452.4300537109375,170.9,-0.058479532,6.02,109.2,27.164210526315788,-3.079575578,10165.873,0.8116500294624407,3.8
5/1/00,1420.5999755859375,171.2,0.1755412521942556,6.27,110.7,26.373181818181816,-2.19150506,10247.72,0.8051153108050713,4
6/1/00,1454.5999755859375,172.2,0.5841121495327117,6.53,106.4,21.54,2.3933549615877237,10271.20166666667,0.2291404006615094,4
7/1/00,1430.8299560546875,172.7,0.2903600464576161,6.54,108.3,19.893,-1.63412759,10294.68333333333,0.2286165477878521,4
8/1/00,1517.6800537109375,172.7,0,6.5,107.3,18.08869565217391,6.069910494167097,10318.165,0.2280950846796692,4.1
9/1/00,1436.510009765625,173.6,0.5211349160393786,6.52,106.8,19.6875,-5.348297472,10357.358,0.3798446719935011,3.9
10/1/00,1429.4000244140625,173.9,0.1728110599078514,6.51,105.8,25.2,-0.494948542,10396.551,0.3784073119805109,3.9
11/1/00,1314.949951171875,174.2,0.1725129384703816,6.51,107.6,26.382857142857144,-8.006861011,10435.744,0.3769807891097931,3.9
12/1/00,1320.280029296875,174.6,0.2296211251435087,6.4,98.4,26.5305,0.4053445623728668,10447.23966666667,0.1101566564556399,3.9
1/1/01,1366.010009765625,175.6,0.572737686,5.98,94.7,24.91857142857143,3.4636576676164488,10458.73533333333,0.1100354450883189,4.2
2/1/01,1239.939941,176,0.2277904328018332,5.49,90.6,23.41157894736842,-9.22907354,10470.231,0.1099145001789203,4.2
3/1/01,1160.3299560546875,176.1,0.056818182,5.31,91.5,28.49681818181818,-6.42047108,10513.154,0.4099527508036882,4.3
4/1/01,1249.459961,176.4,0.1703577512776943,4.8,88.4,28.134,7.681436165439459,10556.077,0.4082789998129943,4.4
5/1/01,1255.8199462890625,177.3,0.5102040816326481,4.21,92,22.944090909090907,0.5090187401275648,10599,0.4066188603967235,4.3
6/1/01,1224.3800048828125,177.7,0.2256063169768563,3.97,92.6,20.940476190476193,-2.503538943,10598.67333333333,-0.003082052,4.5
7/1/01,1211.22998,177.4,-0.16882386,3.77,92.4,22.31619047619047,-1.07401496,10598.34666666667,-0.003082147,4.6
8/1/01,1133.5799560546875,177.4,0,3.65,91.5,21.861739130434785,-6.410840688,10598.02,-0.003082242,4.9
9/1/01,1040.939941,178.1,0.3945885005636862,3.07,81.8,35.065333333333335,-8.172340571,10618.835,0.1964046114274031,5
10/1/01,1059.780029296875,177.6,-0.280741157,2.49,82.7,32.72130434782609,1.8099111333141016,10639.65,0.1960196198547148,5.3
11/1/01,1139.449951171875,177.5,-0.056306306,2.09,83.9,26.63095238095238,7.517590412,10660.465,0.1956361346472812,5.5
12/1/01,1148.0799560546875,177.4,-0.056338028,1.82,88.8,23.72,0.7573834088927756,10701.47666666667,0.3847080466627739,5.7
1/1/02,1130.199951171875,177.7,0.1691093573844337,1.73,93,22.252857142857145,-1.557383246,10742.48833333333,0.3832337157207988,5.7
2/1/02,1106.72998,178,0.1688238604389491,1.74,90.7,22.875789473684208,-2.076621104,10783.5,0.3817706419043887,5.7
3/1/02,1147.3900146484375,178.5,0.2808988764045006,1.73,95.7,18.985,3.6738892862074657,10818.15333333333,0.3213551567981643,5.7
4/1/02,1076.9200439453125,179.3,0.4481792717086819,1.75,93,19.900454545454544,-6.141762592,10852.80666666667,0.3203257734068598,5.9
5/1/02,1067.1400146484375,179.5,0.1115448968209698,1.75,96.9,20.08772727272727,-0.908148135,10887.46,0.319302964,5.8
6/1/02,989.8200073242188,179.6,0.055710306,1.75,92.4,25.271,-7.245535381,10919.65333333333,0.2956918632383676,5.8
7/1/02,911.6199951171876,180,0.222717149,1.73,88.1,34.04954545454546,-7.900427515,10951.84666666667,0.2948201041791831,5.8
8/1/02,916.0700073242188,180.5,0.2777777777777768,1.74,87.6,33.74272727272727,0.4881433306494376,10984.04,0.2939534702518731,5.7
9/1/02,815.2800293,180.8,0.1662049861495873,1.75,86.1,37.6475,-11.00243183,11009.83766666667,0.2348650102027116,5.7
10/1/02,885.7600098,181.2,0.221238938,1.75,80.6,35.243043478260866,8.644880033371404,11035.63533333333,0.2343146869891121,5.7
11/1/02,936.3099975585938,181.5,0.165562914,1.34,84.2,28.175,5.706962070498589,11061.433,0.2337669367231454,5.9
12/1/02,879.8200073242188,181.8,0.1652892561983643,1.24,86.7,28.210476190476193,-6.033257189,11098.99833333333,0.33960639,6
1/1/03,855.7000122070312,182.6,0.4400440044004305,1.24,82.4,27.424285714285713,-2.741469268,11136.56366666667,0.3384569688646754,5.8
2/1/03,841.1500244140625,183.6,0.5476451259583737,1.26,79.9,32.21842105263158,-1.700360826,11174.129,0.3373153017188768,5.9
3/1/03,848.1799926757812,183.9,0.1633986928104569,1.25,77.6,30.634285714285713,0.8357567684332823,11220.34133333333,0.4135654182382264,5.9
4/1/03,916.9199829101562,183.2,-0.380641653,1.26,86,23.99190476190476,8.104410718,11266.55366666667,0.4118620990259281,6
5/1/03,963.5900268554688,182.9,-0.163755459,1.26,92.1,20.239523809523806,5.0898709609522585,11312.766,0.4101727529160381,6.1
6/1/03,974.5,183.1,0.1093493712411186,1.22,89.7,20.362380952380953,1.1322214676852127,11397.40033333333,0.748131212,6.3
7/1/03,990.3099975585938,183.7,0.3276897870016393,1.01,90.9,19.161363636363635,1.6223701958536507,11482.03466666667,0.7425757704220937,6.2
8/1/03,1008.010009765625,184.5,0.4354926510615087,1.03,89.3,19.27428571428571,1.7873203593487874,11566.669,0.7371022278745532,6.1
9/1/03,995.9699707,185.1,0.3252032520325132,1.01,87.7,19.53238095238095,-1.194436459,11635.19066666667,0.5924062205520775,6.1
10/1/03,1050.709961,184.9,-0.108049703,1.01,89.6,18.023478260869563,5.496148663571665,11703.71233333333,0.5889174370211636,6
11/1/03,1058.199951171875,185,0.054083288,1,93.7,17.40105263157895,0.7128504071372888,11772.234,0.5854695050177661,5.8
12/1/03,1111.9200439453125,185.5,0.2702702702702675,0.98,92.6,16.826363636363634,5.076554077889206,11822.63833333333,0.4281628562032402,5.7
1/1/04,1131.1300048828125,186.3,0.431266846,1,103.8,16.101,1.7276386950755285,11873.04266666667,0.4263374376532125,5.7
2/1/04,1144.939941,186.7,0.2147074610842514,1.01,94.4,15.998421052631578,1.220897373761054,11923.447,0.4245275179111329,5.6
